Generation;AverageBest;AverageAverage;AverageTime
165;8.9308335000;8.9308335000;0.0000000000
166;8.9308335000;8.9308335000;0.0000000000
167;8.9308335000;8.9308335000;0.0000000000
168;8.9308335000;8.9308335000;0.0000000000
169;8.9308335000;8.9308335000;0.0000000000
170;8.9308335000;8.9308335000;0.0000000000
171;8.9308335000;8.9308335000;0.0000000000
172;8.9308335000;8.9308335000;0.0000000000
173;8.9308335000;8.9308335000;0.0000000000
174;8.9308335000;8.9308335000;0.0000000000
175;8.9308335000;8.9308335000;0.0000000000
176;8.9308335000;8.9308335000;0.0000000000
177;8.9308335000;8.9308335000;0.0000000000
178;8.9308335000;8.9308335000;0.0000000000
179;8.9308335000;8.9308335000;0.0000000000
180;8.9308335000;8.9308335000;0.0000000000
181;8.9308335000;8.9308335000;0.0000000000
182;8.9308335000;8.9308335000;0.0000000000
183;8.9308335000;8.9308335000;0.0000000000
184;8.9308335000;8.9308335000;0.0000000000
185;8.9308335000;8.9308335000;0.0000000000
186;8.9308335000;8.9308335000;0.0000000000
187;8.9308335000;8.9308335000;0.0000000000
188;8.9308335000;8.9308335000;0.0000000000
189;8.9308335000;8.9308335000;0.0000000000
190;8.9308335000;8.9308335000;0.0000000000
191;8.9308335000;8.9308335000;0.0000000000
192;8.9308335000;8.9308335000;0.0000000000
193;8.9308335000;8.9308335000;0.0000000000
194;8.9308335000;8.9308335000;0.0000000000
195;8.9308335000;8.9308335000;0.0000000000
196;8.9308335000;8.9308335000;0.0000000000
197;8.9308335000;8.9308335000;0.0000000000
198;8.9308335000;8.9308335000;0.0000000000
199;8.9308335000;8.9308335000;0.0000000000
200;8.9308335000;8.9308335000;0.0000000000
201;8.9308335000;8.9308335000;0.0000000000
202;8.9308335000;8.9308335000;0.0000000000
203;8.9308335000;8.9308335000;0.0000000000
204;8.9308335000;8.9308335000;0.0000000000
205;8.9308335000;8.9308335000;0.0000000000
206;8.9308335000;8.9308335000;0.0000000000
207;8.9308335000;8.9308335000;0.0000000000
208;8.9308335000;8.9308335000;0.0000000000
209;8.9308335000;8.9308335000;0.0000000000
210;8.9308335000;8.9308335000;0.0000000000
211;8.9308335000;8.9308335000;0.0000000000
212;8.9308335000;8.9308335000;0.0000000000
213;8.9308335000;8.9308335000;0.0000000000
214;8.9308335000;8.9308335000;0.0000000000
215;8.9308335000;8.9308335000;0.0000000000
216;8.9308335000;8.9308335000;0.0000000000
217;8.9308335000;8.9308335000;0.0000000000
218;8.9308335000;8.9308335000;0.0000000000
219;8.9308335000;8.9308335000;0.0000000000
220;8.9308335000;8.9308335000;0.0000000000
221;8.9308335000;8.9308335000;0.0000000000
222;8.9308335000;8.9308335000;0.0000000000
223;8.9308335000;8.9308335000;0.0000000000
224;8.9308335000;8.9308335000;0.0000000000
225;8.9308335000;8.9308335000;0.0000000000
226;8.9308335000;8.9308335000;0.0000000000
227;8.9308335000;8.9308335000;0.0000000000
228;8.9308335000;8.9308335000;0.0000000000
229;8.9308335000;8.9308335000;0.0000000000
230;8.9308335000;8.9308335000;0.0000000000
231;8.9308335000;8.9308335000;0.0000000000
232;8.9308335000;8.9308335000;0.0000000000
233;8.9308335000;8.9308335000;0.0000000000
234;8.9308335000;8.9308335000;0.0000000000
235;8.9308335000;8.9308335000;0.0000000000
236;8.9308335000;8.9308335000;0.0000000000
237;8.9308335000;8.9308335000;0.0000000000
238;8.9308335000;8.9308335000;0.0000000000
239;8.9308335000;8.9308335000;0.0000000000
240;8.9308335000;8.9308335000;0.0000000000
241;8.9308335000;8.9308335000;0.0000000000
242;8.9308335000;8.9308335000;0.0000000000
243;8.9308335000;8.9308335000;0.0000000000
244;8.9308335000;8.9308335000;0.0000000000
245;8.9308335000;8.9308335000;0.0000000000
246;8.9308335000;8.9308335000;0.0000000000
247;8.9308335000;8.9308335000;0.0000000000
248;8.9308335000;8.9308335000;0.0000000000
249;8.9308335000;8.9308335000;0.0000000000
250;8.9308335000;8.9308335000;0.0000000000
251;8.9308335000;8.9308335000;0.0000000000
252;8.9308335000;8.9308335000;0.0000000000
253;8.9308335000;8.9308335000;0.0000000000
254;8.9308335000;8.9308335000;0.0000000000
255;8.9308335000;8.9308335000;0.0000000000
256;8.9308335000;8.9308335000;0.0000000000
257;8.9308335000;8.9308335000;0.0000000000
258;8.9308335000;8.9308335000;0.0000000000
259;8.9308335000;8.9308335000;0.0000000000
260;8.9308335000;8.9308335000;0.0000000000
261;8.9308335000;8.9308335000;0.0000000000
262;8.9308335000;8.9308335000;0.0000000000
263;8.9308335000;8.9308335000;0.0000000000
264;8.9308335000;8.9308335000;0.0000000000
265;8.9308335000;8.9308335000;0.0000000000
266;8.9308335000;8.9308335000;0.0000000000
267;8.9308335000;8.9308335000;0.0000000000
268;8.9308335000;8.9308335000;0.0000000000
269;8.9308335000;8.9308335000;0.0000000000
270;8.9308335000;8.9308335000;0.0000000000
271;8.9308335000;8.9308335000;0.0000000000
272;8.9308335000;8.9308335000;0.0000000000
273;8.9308335000;8.9308335000;0.0000000000
274;8.9308335000;8.9308335000;0.0000000000
275;8.9308335000;8.9308335000;0.0000000000
276;8.9308335000;8.9308335000;0.0000000000
277;8.9308335000;8.9308335000;0.0000000000
278;8.9308335000;8.9308335000;0.0000000000
279;8.9308335000;8.9308335000;0.0000000000
280;8.9308335000;8.9308335000;0.0000000000
281;8.9308335000;8.9308335000;0.0000000000
282;8.9308335000;8.9308335000;0.0000000000
283;8.9308335000;8.9308335000;0.0000000000
284;8.9308335000;8.9308335000;0.0000000000
285;8.9308335000;8.9308335000;0.0000000000
286;8.9308335000;8.9308335000;0.0000000000
287;8.9308335000;8.9308335000;0.0000000000
288;8.9308335000;8.9308335000;0.0000000000
289;8.9308335000;8.9308335000;0.0000000000
290;8.9308335000;8.9308335000;0.0000000000
291;8.9308335000;8.9308335000;0.0000000000
292;8.9308335000;8.9308335000;0.0000000000
293;8.9308335000;8.9308335000;0.0000000000
294;8.9308335000;8.9308335000;0.0000000000
295;8.9308335000;8.9308335000;0.0000000000
296;8.9308335000;8.9308335000;0.0000000000
297;8.9308335000;8.9308335000;0.0000000000
298;8.9308335000;8.9308335000;0.0000000000
299;8.9308335000;8.9308335000;0.0000000000
300;8.9308335000;8.9308335000;0.0000000000
